開催店舗,電話番号,修理イベント,SSコード
１６号柏インター,04-7124-5956,11月2日（水）～11月13日（日）,292686
３５７号湾岸メッセ,043-276-5281,11月3日（木）～11月28日（月）,277630
第二湾岸千葉新港,043-302-2533,11月3日（木）～11月30日（水）,325106
船取線船橋,047-429-0013,11月4日（金）～11月25日（金）,286452
１６号八千代北,047-457-0189,11月19日（土）～11月30日（水）,270110
６号土浦北,0299-59-0301,11月20日（日）～11月30日（水）,343426
６号取手,0297-83-7501,11月25日（金）～11月29日（火）,281359
１２４号鹿嶋,0299-93-0853,12月1日（木）～12月27日（火）,292597
１６号千葉北インター,047-481-4170,12月2日（金）～12月14日（水）,310782
１６号柏藤ヶ谷,04-7190-1221,12月2日（金）～12月20日（火）,350417
１６号市原東,0436-23-8961,12月2日（金）～12月28日（水）,281313
２９７号市原インター,0436-20-3536,12月2日（金）～12月28日（水）,297752
２９４号谷和原インター,0297-52-7771,12月2日（金）～12月28日（水）,283142
６号日立北インター,0294-20-2310,12月3日（土）～12月27日（火）,311601
３５７号浦安インター,047-306-3111,12月16日（金）～12月28日（水）,345754
１６号野田北,04-7127-1826,12月23日（金）～12月28日（水）,254888
３５７号浦安インター,047-306-3111,1月6日（金）～1月29日（日）,345754
２９４号水海道,0297-22-0381,1月7日（土）～1月29日（日）,292604
５１号潮来,0299-78-3211,1月7日（土）～1月29日（日）,275286
２９４号下館南,0296-25-7260,1月7日（土）～1月29日（日）,295601
６号取手,0297-83-7501,1月26日（木）～1月29日（日）,281359
