開催店舗,電話番号,修理イベント,SSコード
１５６号美濃インター,0575-31-0268,11月1日（火）～11月3日（木）,315778
２０号岡谷インター,0266-24-4567,11月4日（金）～11月13日（日）,298644
４１号小牧北,0587-94-0900,11月6日（日）～11月14日（月）,312058
４１号下呂,0576-24-1511,11月20日（日）～11月28日（月）,296904
１９号瑞浪バイパス,0572-68-6150,11月22日（火）～11月28日（月）,277505
２０号塩尻インター,0263-54-7821,12月2日（金）～12月11日（日）,299652
２０号岡谷インター,0266-24-4567,12月3日（土）～12月27日（火）,298644
２０号甲府中央上り,055-221-0367,12月16日（金）～12月25日（日）,315876
２０号岡谷インター,0266-24-4567,1月4日（水）～1月30日（月）,298644
旧１９号瑞浪,0572-68-6151,1月5日（木）～1月9日（月）,277453
２０号甲府一宮インター,0553-47-4363,1月13日（金）～1月18日（水）,281064
２０号甲府中央,055-237-8980,1月23日（月）～1月30日（月）,291650
