開催店舗,電話番号,修理イベント,SSコード
前橋南インター,027-267-0391,11月3日（木）～11月13日（日）,286112
１８号長野アップルライン,026-295-4411,11月3日（木）～11月21日（月）,266036
１１３号新潟・東港,025-256-2231,11月3日（木）～11月26日（土）,291008
１４１号佐久インター,0267-65-7250,11月4日（金）～11月27日（日）,296487
２８９号三条燕インター,0256-66-3205,11月8日（火）～11月15日（火）,287594
８号上越西,025-545-5670,11月20日（日）～11月26日（土）,295497
８号黒埼インター,025-377-7261,12月2日（金）～12月27日（火）,273000
１８号篠ノ井バイパス,026-283-1131,12月2日（金）～12月27日（火）,273974
１８号バイパス東部インター,0268-64-8658,12月2日（金）～12月27日（火）,310648
８号上越西,025-545-5670,12月2日（金）～12月27日（火）,295497
１８号篠ノ井バイパス,026-283-1131,1月6日（金）～1月12日（木）,273974
８号上越西,025-545-5670,1月6日（金）～1月12日（木）,295497
８号中之島・見附インター,0258-61-5821,1月6日（金）～1月12日（木）,297654
５０号桐生,0277-76-9150,1月6日（金）～1月29日（日）,267008
１８号更埴インター,026-274-0721,1月6日（金）～1月29日（日）,285970
１７号上武国道伊勢崎,0270-21-4330,1月16日（月）～1月30日（月）,286461
