開催店舗,電話番号,修理イベント,SSコード
２４６号溝の口,044-812-7778,11月3日（木）～11月5日（土）,292445
２４６号海老名,046-234-3855,11月5日（土）～11月7日（月）,277408
第三京浜港北インター,045-470-2288,11月6日（日）～11月8日（火）,342695
１６号相模原南,042-786-2037,11月10日（木）～11月12日（土）,336283
３５７号川崎産業道路,044-266-6908,11月11日（金）～11月13日（日）,297048
１２９号平塚,0463-53-0468,11月13日（日）～11月15日（火）,290358
２４６号つくし野横浜インター,045-922-9461,11月19日（土）～11月21日（月）,353138
環状２号新横浜,045-581-0928,11月19日（土）～11月21日（月）,312637
横浜大黒,045-511-4386,11月23日（水）～11月25日（金）,288931
１号原宿下り,045-854-0528,11月23日（水）～11月27日（日）,310620
２４６号溝の口,044-812-7778,11月26日（土）～11月28日（月）,292445
２４６号厚木金田,046-224-7227,12月2日（金）～12月4日（日）,238460
第三京浜港北インター,045-470-2288,12月2日（金）～12月4日（日）,342695
３５７号川崎産業道路,044-266-6908,12月8日（木）～12月10日（土）,297048
伊勢原東部工業団地,0463-90-1668,12月9日（金）～12月12日（月）,336719
環状２号新横浜,045-581-0928,12月11日（日）～12月13日（火）,312637
１２９号東名厚木インター,046-220-4138,12月15日（木）～12月17日（土）,317142
横浜大黒,045-511-4386,12月16日（金）～12月18日（日）,288931
１６号鵜野森,042-744-6238,12月18日（日）～12月20日（火）,290704
２４６号溝の口,044-812-7778,12月19日（月）～12月21日（水）,292445
２４６号伊勢原上り,0463-90-3248,12月23日（金）～12月25日（日）,310265
１号原宿下り,045-854-0528,12月23日（金）～12月25日（日）,310620
３５７号川崎産業道路,044-266-6908,12月27日（火）～12月28日（水）,297048
２４６号海老名,046-234-3855,12月27日（火）～12月29日（木）,277408
１６号相模原南,042-786-2037,1月7日（土）～1月9日（月）,336283
環状２号新横浜,045-581-0928,1月7日（土）～1月9日（月）,312637
１２９号平塚,0463-53-0468,1月12日（木）～1月14日（土）,290358
横浜大黒,045-511-4386,1月12日（木）～1月14日（土）,288931
２４６号つくし野横浜インター,045-922-9461,1月15日（日）～1月17日（火）,353138
２４６号溝の口,044-812-7778,1月15日（日）～1月17日（火）,292445
２４６号厚木金田,046-224-7227,1月21日（土）～1月23日（月）,238460
第三京浜港北インター,045-470-2288,1月21日（土）～1月23日（月）,342695
１号原宿下り,045-854-0528,1月26日（木）～1月28日（土）,310620
３５７号川崎産業道路,044-266-6908,1月26日（木）～1月28日（土）,297048
伊勢原東部工業団地,0463-90-1668,1月29日（日）～1月31日（火）,336719
環状２号新横浜,045-581-0928,1月29日（日）～1月31日（火）,312637
