開催店舗,電話番号,修理イベント,SSコード
１７１号新高槻,075-963-2203,11月3日（木）～11月13日（日）,344158
１号枚方,072-849-1052,11月3日（木）～11月14日（月）,269925
吹田インターチェンジ,06-6877-4501,11月22日（火）～11月28日（月）,332241
２５号柏原国分,072-975-3911,11月22日（火）～11月28日（月）,336906
セルフ２４号大和高田,0745-52-3384,12月4日（日）～12月11日（日）,287004
琵琶湖大橋,077-584-3640,12月4日（日）～12月11日（日）,325160
大阪臨海堺,072-267-6410,12月15日（木）～12月21日（水）,311040
中環東大阪,06-6732-0617,1月10日（火）～1月16日（月）,288922
大阪臨海岸和田,072-437-6565,1月12日（木）～1月16日（月）,290777
１７０号八尾,072-940-2303,1月22日（日）～1月30日（月）,297556
セルフ２４号山城,0774-86-4423,1月22日（日）～1月30日（月）,286997
