開催店舗,電話番号,修理イベント,SSコード
１２２号羽生,048-560-0080,11月3日（木）～11月13日（日）,341936
１７号熊谷バイパス,048-522-6377,11月3日（木）～11月13日（日）,288904
鹿沼インター,0289-76-3213,11月3日（木）～11月13日（日）,280902
４号古河,0280-48-0044,11月21日（月）～11月30日（水）,271878
１７号新大宮バイパス上り,048-662-2851,11月21日（月）～11月30日（水）,310452
新４号上三川,0285-56-5531,11月21日（月）～11月30日（水）,277603
４号古河,0280-48-0044,12月1日（木）～12月1日（木）,271878
１７号新大宮バイパス上り,048-662-2851,12月1日（木）～12月1日（木）,310452
新４号上三川,0285-56-5531,12月1日（木）～12月1日（木）,277603
１２２号浦和インター上り,048-812-6051,12月3日（土）～12月13日（火）,347217
１７号深谷バイパス,048-530-3113,12月3日（土）～12月13日（火）,310274
４号矢板,0287-40-1228,12月3日（土）～12月13日（火）,337521
さいたま栗橋線伊奈町,048-720-0230,12月17日（土）～12月27日（火）,298751
２５４号川島インター,049-299-0004,12月17日（土）～12月27日（火）,355886
新４号小山バイパス,0285-49-3440,12月17日（土）～12月27日（火）,267062
４号越谷南,048-972-1600,1月11日（水）～1月15日（日）,295219
所沢下富,04-2990-1107,1月11日（水）～1月21日（土）,350426
５０号足利,0284-73-7338,1月12日（木）～1月16日（月）,284212
５０号佐野インター,0282-62-3965,1月19日（木）～1月23日（月）,266018
１２２号加須騎西,0480-70-0380,1月21日（土）～1月25日（水）,355038
１７号鴻巣,048-596-6511,1月25日（水）～1月29日（日）,264341
５０号佐野インター東,0282-55-7448,1月25日（水）～1月29日（日）,289878
新４号越谷,048-978-5035,1月27日（金）～1月31日（火）,268347
