開催店舗,電話番号,修理イベント,SSコード
２号岩国東,0827-23-4555,11月2日（水）～11月9日（水）,299082
３７５号三次工業団地,0824-63-6301,11月2日（水）～11月9日（水）,277587
１８２号福山東インター,084-955-7580,11月3日(木)～11月11日(金),284622
２号金光,0865-42-5288,11月23日(水)～11月27日(日),279969
９号松江西,0852-66-0651,11月20日（日）～11月27日（日）,291847
神戸六甲アイランド,078-858-7911,11月20日（日）～11月28日（月）,329308
２号西条,082-426-0234,12月2日(金)～12月7日(水),124421
９号安来東,0854-23-1841,12月2日（金）～12月9日（金）,277541
２号大野,082-954-3113,12月2日（金）～12月9日（金）,294489
３７５号西条インター,082-422-1402,12月10日(土)～12月14日(水),320904
神戸ポートアイランドトラックステーション,078-304-5740,12月18日（日）～12月26日（月）,346735
９号小郡インター,083-972-1070,12月19日（月）～12月26日（月）,291865
２号相生国道,0791-23-1651,1月9日（月）～1月16日（月）,133732
２号早島インター,086-483-2620,1月9日（月）～1月16日（月）,284631
神戸六甲アイランド,078-858-7911,1月22日（日）～1月30日（月）,329308
３１号広島坂インター,082-820-1920,1月22日（日）～1月30日（月）,311237
