開催店舗,電話番号,修理イベント,SSコード
４号新本宮インター,0243-34-1720,11月1日（火）～11月7日（月）,356876
盛岡流通センター,019-611-2081,11月3日（木）～11月12日（土）,352594
石巻港インター,0225-83-1260,11月3日（木）～11月12日（土）,353343
４号白河インター,0248-22-3045,11月9日（水）～11月28日（月）,290722
八戸産業道路,0178-28-7890,11月15日（火）～11月28日（月）,267106
利府バイパス,022-255-1606,11月15日（火）～11月28日（月）,289075
仙台産業道路東インター,022-288-8831,12月1日（木）～12月12日（月）,292944
４号盛岡矢巾,019-697-8310,12月1日（木）～12月27日（火）,234829
４号新本宮インター,0243-34-1720,12月1日（木）～12月7日（水）,356876
６号いわきバイパス,0246-58-5750,12月9日（金）～12月26日（月）,258321
４号仙台泉インターシティ,022-218-3711,12月15日（木）～12月26日（月）,332152
仙台港インター,022-388-5281,1月4日（水）～1月14日（土）,343612
１０６号宮古,0193-64-5045,1月4日（水）～1月30日（月）,294997
４号新本宮インター,0243-34-1720,1月4日（水）～1月9日（月）,356876
６号小名浜,0246-56-7727,1月16日（月）～1月30日（月）,297770
４号三本木バイパス,0229-52-5604,1月16日（月）～1月30日（月）,290946
