開催店舗,電話番号,修理イベント,SSコード
２４６号裾野インター北,0550-87-8177,10月29日（土）～11月13日（日）,311530
東郊通,052-884-3301,11月2日（水）～11月6日（日）,337040
名古屋インター,052-701-1281,11月3日（木）～11月7日（月）,277079
２３号豊橋前芝,0532-32-0611,11月3日（木）～11月7日（月）,277088
２５号名阪関インター,0595-96-1018,11月3日（木）～11月7日（月）,277373
知多産業道路大高,052-622-9444,11月9日（水）～11月13日（日）,295709
１号岡崎インター,0564-28-0651,11月10日（木）～11月14日（月）,279317
１号鈴鹿,0593-78-0406,11月10日（木）～11月14日（月）,290349
羽島インター,058-398-6725,11月11日（金）～11月15日（火）,289011
太平通,052-353-2210,11月19日（土）～11月21日（月）,317188
ミルクロード大安,0594-78-4111,11月19日（土）～11月27日（日）,299126
１号沼津バイパス上り,055-920-4400,11月19日（土）～12月4日（日）,297342
南陽町,052-301-3945,11月23日（水）～11月27日（日）,267669
１号音羽インター,0533-87-5990,11月23日（水）～11月27日（日）,291669
２５８号大垣インター,0584-89-6007,11月23日（水）～11月28日（月）,277346
津島本店,0567-26-2063,12月1日（木）～12月13日（火）,113111
２３号安城,0566-92-5870,12月2日（金）～12月12日（月）,280966
１号浜松バイパス,053-441-7828,12月2日（金）～12月12日（月）,277293
２５号名阪下柘植,0595-45-6450,12月2日（金）～12月6日（火）,282535
１５０号焼津,054-629-0737,12月7日（水）～1月9日（月）,277783
１６３号名阪中瀬インター,0595-23-0481,12月10日（土）～12月14日（水）,279987
１５５号稲沢,0587-36-6691,12月16日（金）～12月20日（火）,282492
２３号三雲,0598-56-2448,12月16日（金）～12月20日（火）,277391
１５５号豊田南インター,0565-59-3001,12月16日（金）～12月26日（月）,344906
浜松西インター,053-436-3681,12月17日（土）～12月26日（月）,278540
唐臼,0567-31-3484,12月22日（木）～12月25日（日）,246228
２５８号桑名東インター,0594-29-1680,12月22日（木）～12月26日（月）,269596
星崎インター,052-613-2315,1月6日（金）～1月10日（火）,277300
１６３号名阪中瀬インター,0595-23-0481,1月10日（火）～1月15日（日）,279987
４１号小牧山,0568-77-2391,1月11日（水）～1月16日（月）,294791
東郊通,052-884-3301,1月12日（木）～1月16日（月）,337040
１号清水インター,054-365-5152,1月12日（木）～1月31日（火）,287638
山王,052-323-1018,1月18日（水）～1月19日（木）,275623
１９号熱田高蔵,052-678-7311,1月21日（土）～1月23日（月）,325892
１号鈴鹿,0593-78-0406,1月21日（土）～1月25日（水）,290349
１号岡崎美合国道,0564-48-2506,1月21日（土）～1月29日（日）,112737
４１号名犬小牧,0568-75-0415,1月21日（土）～1月30日（月）,277266
太平通,052-353-2210,1月25日（水）～1月29日（日）,317188
四日市東インター,0593-64-6186,1月27日（金）～1月30日（月）,290571
