開催店舗,電話番号,修理イベント,SSコード
環七大原,03-5355-3228,11月3日（木）～11月13日（日）,311031
新青梅たなし,042-468-1108,11月3日（木）～11月13日（日）,279674
環七梅島,03-3880-6871,11月3日（木）～11月13日（日）,295610
環七十条,03-3909-8514,11月19日（土）～11月28日（月）,247192
東京ゲートブリッジ若洲,03-5569-7060,11月19日（土）～11月28日（月）,348029
第２平和島,03-3766-4340,11月19日（土）～11月28日（月）,281260
新青梅たなし,042-468-1108,12月3日（土）～12月12日（月）,279674
セルフ環七上馬,03-3422-4621,12月3日（土）～12月12日（月）,236202
環八谷原,03-3995-9638,12月3日（土）～12月12日（月）,290786
１６号八王子インター,042-692-0698,12月16日（金）～12月25日（日）,287380
明治通り新木場,03-5632-1960,12月16日（金）～12月25日（日）,287692
足立入谷インター・ターミナル,03-5839-8680,12月16日（金）～12月25日（日）,299439
３５７号湾岸有明,03-3528-0377,1月6日（金）～1月15日（日）,296851
環八谷原,03-3995-9638,1月6日（金）～1月30日（月）,290786
足立入谷,03-3856-3886,1月6日（金）～1月30日（月）,270520
辰巳,03-3521-4631,1月21日（土）～1月30日（月）,251499
